champion_id,champion_name,skin_id,skin_name,skin_release_date,win_rate_1m_before,win_rate_2w_after,popularity_1m_before,popularity_2w_after,buff_entries_6w_before,buff_patches_6w_before,nerf_entries_6w_after,nerf_patches_6w_after,win_rate_change,popularity_change,any_buff_6w_before,any_nerf_6w_after,popularity_quartile
79,Gragas,39,Music Fan,2024-10-09,48.4479673900237,48.3072305881781,4.59390506635442,6.39279172917127,0,0,0,0,-0.14073680184552,1.79888666281684,FALSE,FALSE,Q2
518,Neeko,40,Cosplayer,2024-10-09,49.2640186342722,49.2898464706883,3.50537725306929,5.22328920263902,1,1,1,1,0.0258278364160702,1.71791194956973,TRUE,TRUE,Q1: least popular
48,Trundle,21,Esports Fan,2024-10-09,50.3759930121479,51.3480011768422,3.37248689842312,4.01961873833144,0,0,0,0,0.972008164694245,0.647131839908325,FALSE,FALSE,Q1: least popular
157,Yasuo,87,Genesis Nightbringer,2024-10-09,48.1958532551064,48.7511544119434,14.6514163470942,16.2025771234545,2,1,0,0,0.555301156836926,1.55116077636029,TRUE,FALSE,Q4: most popular
37,Sona,56,Victorious,2024-10-10,51.535433472639,51.3503086364847,2.22439345714671,2.7765563090464,0,0,0,0,-0.185124836154316,0.552162851899689,FALSE,FALSE,Q1: least popular
15,Sivir,70,Ann-Sivir-sary,2024-10-17,50.5352333333796,50.8317033505624,2.9766964677014,4.71547743242083,0,0,0,0,0.296470017182727,1.73878096471944,FALSE,FALSE,Q1: least popular
131,Diana,64,Dark Cosmic,2024-10-23,50.8929567746783,50.7909977957654,8.88281762483809,9.35848740594558,0,0,0,0,-0.101958978912904,0.475669781107484,FALSE,FALSE,Q3
131,Diana,65,Prestige Dark Cosmic,2024-10-23,50.8929567746783,50.7909977957654,8.88281762483809,9.35848740594558,0,0,0,0,-0.101958978912904,0.475669781107484,FALSE,FALSE,Q3
145,Kai'Sa,69,Dark Star,2024-10-23,50.2685041770921,48.674180615872,22.1131284993824,16.7070008819189,0,0,0,0,-1.59432356122009,-5.4061276174635,FALSE,FALSE,Q4: most popular
517,Sylas,46,Dark Star,2024-10-23,49.9814783873392,49.6856079089717,12.1120008104806,15.9906903704562,0,0,1,1,-0.295870478367476,3.87868955997557,FALSE,TRUE,Q4: most popular
83,Yorick,40,Dark Star,2024-10-23,52.7483298214051,52.7796431767251,6.18063817230491,5.07765036356908,2,1,0,0,0.0313133553200231,-1.10298780873582,TRUE,FALSE,Q2
142,Zoe,33,Dark Star,2024-10-23,49.5160007272002,48.4037290761919,2.60521969661921,2.71363972091744,0,0,0,0,-1.11227165100824,0.108420024298231,FALSE,FALSE,Q1: least popular
55,Katarina,59,Chosen of the Wolf,2024-11-06,48.7300524444934,48.4289954375972,5.59689173424805,6.48576272193278,2,1,0,0,-0.301057006896187,0.888870987684739,TRUE,FALSE,Q2
203,Kindred,34,Chosen of the Wolf,2024-11-06,47.1629395556324,47.2405530208873,2.39324829754584,3.4813006653416,0,0,0,0,0.077613465254899,1.08805236779576,FALSE,FALSE,Q1: least popular
80,Pantheon,38,Chosen of the Wolf,2024-11-06,48.914138370233,49.472562145693,6.12431703904219,6.8404118436165,1,1,0,0,0.558423775460028,0.716094804574305,TRUE,FALSE,Q2
51,Caitlyn,50,Arcane Commander,2024-11-20,50.6096232196695,50.266230351289,21.2481615988667,27.29691540777,2,1,0,0,-0.343392868380555,6.0487538089033,TRUE,FALSE,Q4: most popular
51,Caitlyn,51,Prestige Arcane Commander,2024-11-20,50.6096232196695,50.266230351289,21.2481615988667,27.29691540777,2,1,0,0,-0.343392868380555,6.0487538089033,TRUE,FALSE,Q4: most popular
126,Jayce,35,Arcane Survivor,2024-11-20,48.0569208258767,46.4758802517554,3.19630213965925,5.81526186537269,0,0,0,0,-1.58104057412126,2.61895972571344,FALSE,FALSE,Q1: least popular
254,Vi,48,Arcane Brawler,2024-11-20,48.6884368641677,49.8625621604223,5.54215208502046,7.9957198576844,1,1,0,0,1.17412529625462,2.45356777266394,TRUE,FALSE,Q2
27,Singed,28,Arcane Shimmer Lab,2024-11-26,51.4738681631455,50.6548574418487,1.62705994778081,2.28612791311119,0,0,0,0,-0.819010721296756,0.659067965330386,FALSE,FALSE,Q1: least popular
245,Ekko,57,Arcane Last Stand,2024-12-11,50.1695484607829,49.9727021126413,5.4604238434136,8.86044199292846,2,1,0,0,-0.196846348141612,3.40001814951486,TRUE,FALSE,Q2
74,Heimerdinger,33,Arcane Professor,2024-12-11,51.1620903078434,51.3227021126413,3.01465571554122,3.42737636818866,1,1,0,0,0.160611804797817,0.412720652647439,TRUE,FALSE,Q1: least popular
222,Jinx,60,Arcane Fractured,2024-12-11,50.1764383117726,50.539548434989,14.3214693836508,20.6697586568971,1,1,0,0,0.363110123216444,6.34828927324638,TRUE,FALSE,Q4: most popular
19,Warwick,56,Arcane Vander,2024-12-11,52.3289464084933,52.6064967142184,9.19588164802776,15.4267543305047,15,2,6,2,0.277550305725029,6.23087268247698,TRUE,TRUE,Q3
60,Elise,34,Masque of the Black Rose,2025-01-09,49.7599167742044,47.7890505825238,3.08777361343812,4.68752037153468,0,0,4,2,-1.97086619168056,1.59974675809656,FALSE,TRUE,Q1: least popular
81,Ezreal,65,Masque of the Black Rose,2025-01-09,48.2172994523665,48.7109031435316,15.1480874636017,19.1708612082244,0,0,0,0,0.493603691165049,4.02277374462264,FALSE,FALSE,Q4: most popular
55,Katarina,60,Prestige Masque of the Black Rose,2025-01-09,48.487207366842,47.4976958672265,6.09140790890081,6.54646286772664,0,0,0,0,-0.98951149961546,0.455054958825827,FALSE,FALSE,Q2
11,Master Yi,106,Victorious,2025-01-09,49.1206357389428,48.455078984521,7.22609712005734,7.8362542109625,1,1,0,0,-0.665556754421772,0.61015709090516,TRUE,FALSE,Q3
